carpark_name,lat,lng
SERVICE ROAD OFF JALAN SELASEH,1.3850262,103.872614
SERVICE ROAD OFF MACPHERSON ROAD,1.331099,103.8785838
SHREWSBURY AREA,52.70730289999999,-2.7553268
SIMON ROAD/KOVAN ROAD AREA,1.3621628,103.8854204
SIN MING ROAD HEAVY VEHICLE PARK,1.3559014,103.8377447
SING AVENUE AREA,1.3150882,103.854059
STAGMONT RING HEAVY VEHICLE PARK,1.3942563,103.7536375
SUNGEI KADUT AREA,1.4073821,103.7561919
TAI SENG AVENUE AREA,1.3377152,103.8906808
TAMPINES AVENUE 9/ AVENUE 10 HV PARK,1.3603012,103.9433478
TAMPINES RD / HOUGANG AVENUE 7 AREA,1.3617687,103.895426
TAMPINES ROAD/HOUGANG AVE 7 HEAVY VEH PARK,1.3623902,103.8964126
TANGLIN HALT CLOSE,1.3021663,103.797285
TANJONG KATONG COMPLEX,1.3160222,103.8943761
TANJONG KATONG RD OFF ST (OPP WILKINSON RD),1.3031538,103.8968236
TANJONG KATONG ROAD OFF STREET,1.3078724,103.8952083
TANJONG PENJURU AREA,1.3059841,103.737112
TEBAN GARDENS CRESCENT,1.3247805,103.7405927
TELOK BLANGAH DRIVE HEAVY VEHICLE PARK,1.2729361,103.807824
TELOK BLANGAH STREET 31,1.2751923,103.8067513
TOA PAYOH WEST,1.3352249,103.8412675
TUAS AREA,1.2949472,103.6304833
TUAS SOUTH INDUSTRIAL AREA,1.2949472,103.6304833
UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,1.3326235,103.9466941
UPPER EAST COAST ROAD OFF STREET,1.3149833,103.9410437
UPPER THOMSON ROAD AREA (LAKEVIEW ESTATE),1.3486326,103.8349644
URA CENTRE (EAST WING),1.280094,103.8449533
WEST COAST PARK 1 OFF STREET,1.2913603,103.7666534
WHITLEY ROAD / THOMSON ROAD HEAVY VEH PARK,1.3274277,103.8410306
WISHART ROAD,1.2701656,103.8139499
WOODLANDS EAST INDUSTRIAL ESTATE,1.4525248,103.811922
WOODLANDS INDUSTRIAL PARK E AREA,1.452978,103.7959119
YISHUN AVENUE 7 HEAVY VEHICLE PARK,1.4442391,103.8407085
YISHUN INDUSTRIAL PARK A,1.4427214,103.8350816
ZION ROAD AREA,37.2982022,-113.0263005
